Id,Name,Type,Industry,Phone,BillingCity,BillingCountry,OwnerId
001fj00000Wns6XAAR,Edge Communications,Customer - Direct,Electronics,(512) 757-6000,Austin,United States,005fj000009MHBVAA4
001fj00000Wns6YAAR,Burlington Textiles Corp of America,Customer - Direct,Banking,(336) 222-7000,Burlington,United States,005fj000009MHBVAA4
001fj00000Wns6ZAAR,Pyramid Construction Inc.,Customer - Channel,Construction,(014) 427-4427,Paris,France,005fj000009MHBVAA4
001fj00000Wns6aAAB,Dickenson plc,Customer - Channel,Consulting,(785) 241-6200,Lawrence,USA,005fj000009MHBVAA4
001fj00000Wns6bAAB,Grand Hotels & Resorts Ltd,Customer - Direct,Hospitality,(312) 596-1000,Chicago,United States,005fj000009MHBVAA4
001fj00000Wns6cAAB,United Oil & Gas Corp.,Customer - Direct,Energy,(212) 842-5500,New York,United States,005fj000009MHBVAA4
001fj00000Wns6dAAB,Express Logistics and Transport,Customer - Channel,Transportation,(503) 421-7800,Portland,United States,005fj000009MHBVAA4
001fj00000Wns6eAAB,University of Arizona,Customer - Direct,Education,(520) 773-9050,Tucson,United States,005fj000009MHBVAA4
001fj00000Wns6fAAB,"United Oil & Gas, UK",Customer - Direct,Energy,+44 191 4956203,,,005fj000009MHBVAA4
001fj00000Wns6gAAB,"United Oil & Gas, Singapore",Customer - Direct,Energy,(650) 450-8810,Singapore,,005fj000009MHBVAA4
001fj00000Wns6hAAB,GenePoint,Customer - Channel,Biotechnology,(650) 867-3450,Mountain View,United States,005fj000009MHBVAA4
001fj00000Wns6iAAB,sForce,,,(415) 901-7000,San Francisco,US,005fj000009MHBVAA4
001fj00000Wns6jAAB,Sample Account for Entitlements,,,,,,005fj000009MArcAAG
001fj00000gRKTuAAO,abcd,,,5765765765757,,,005fj000009ndW5AAI
001fj00000hSQq7AAG,Tesla,,,,,,005fj000009ndW5AAI
001fj00000hULciAAG,Microsoft,,,,,,005fj000009ndW5AAI
001fj00000hV4GHAA0,Meta,,,,,,005fj000009ndW5AAI
001fj00000i1DMuAAM,Softinnovas Inc.,,,99999999999,,,005fj000009ndW5AAI
001fj00000i1WisAAE,Salesforce Inc.,,,,,,005fj000009ndW5AAI
001fj00000iAttKAAS,Apple,,,,,,005fj000009ndW5AAI
001fj00000iBJ4QAAW,Samsung,,,,,,005fj000009ndW5AAI
001fj00000iiUsJAAU,Test1,,,,,,005fj000009ndW5AAI
001fj00000jQ5i7AAC,GENERAL ACCOUNT,,,,,,005fj000009ndW5AAI
001fj00000lRvC2AAK,Baku,,,,,,005fj000009ndW5AAI
001fj00000lRwMbAAK,Qusar,,,7657575765765,,,005fj000009ndW5AAI
001fj00000lXQQXAA4,acc1,,Technology,,,,005fj000009ndW5AAI
001fj00000lXQQYAA4,acc2,,,,,,005fj000009ndW5AAI
001fj00000lXQQZAA4,acc3,,,123456789,,,005fj000009ndW5AAI
001fj00000n4rPhAAI,Test account dml new 34,,,,,,005fj000009ndW5AAI
001fj00000n83qyAAA,Test account dml new 34,,,,,,005fj000009ndW5AAI
001fj00000n856MAAQ,Test account dml new 34,,,,,,005fj000009ndW5AAI
001fj00000n8DblAAE,Test account dml new 34,,,,,,005fj000009ndW5AAI
001fj00000n8DqHAAU,Test account dml new 34,,,,,,005fj000009ndW5AAI
001fj00000n8PrVAAU,Account Demo1,,,,,,005fj000009ndW5AAI
001fj00000n8PrWAAU,Account Demo2,,,,,,005fj000009ndW5AAI
001fj00000n8PrXAAU,Account Demo3,,,,,,005fj000009ndW5AAI
001fj00000n8PrYAAU,Account Demo4,,,,,,005fj000009ndW5AAI
001fj00000n8PrZAAU,Account Demo5,,,,,,005fj000009ndW5AAI
001fj00000n8PraAAE,Default,,,,,,005fj000009ndW5AAI
001fj00000n8QVlAAM,Contact Demo FN1,,,,,,005fj000009ndW5AAI
001fj00000n8QVmAAM,Contact Demo FN2,,,,,,005fj000009ndW5AAI
001fj00000n8QVnAAM,Contact Demo FN3,,,,,,005fj000009ndW5AAI
001fj00000n8QVoAAM,Contact Demo FN4,,,,,,005fj000009ndW5AAI
001fj00000n8QVpAAM,Contact Demo FN5,,,,,,005fj000009ndW5AAI
001fj00000n8QynAAE,Account Demo1,,,,,,005fj000009ndW5AAI
001fj00000n8QyoAAE,Account Demo2,,,,,,005fj000009ndW5AAI
001fj00000n8QypAAE,Account Demo3,,,,,,005fj000009ndW5AAI
001fj00000n8QyqAAE,Account Demo4,,,,,,005fj000009ndW5AAI
001fj00000n8QyrAAE,Account Demo5,,,,,,005fj000009ndW5AAI
001fj00000n8RBiAAM,Account Demo1,,,,,,005fj000009ndW5AAI
001fj00000n8RBjAAM,Account Demo2,,,,,,005fj000009ndW5AAI
001fj00000n8RBkAAM,Account Demo3,,,,,,005fj000009ndW5AAI
001fj00000n8RBlAAM,Account Demo4,,,,,,005fj000009ndW5AAI
001fj00000n8RBmAAM,Account Demo5,,,,,,005fj000009ndW5AAI
001fj00000n8RBnAAM,Default,,,,,,005fj000009ndW5AAI
001fj00000n8RDMAA2,Account Demo1,,,,,,005fj000009ndW5AAI
001fj00000n8RDNAA2,Account Demo2,,,,,,005fj000009ndW5AAI
001fj00000n8RDOAA2,Account Demo3,,,,,,005fj000009ndW5AAI
001fj00000n8RDPAA2,Account Demo4,,,,,,005fj000009ndW5AAI
001fj00000n8RDQAA2,Account Demo5,,,,,,005fj000009ndW5AAI
001fj00000n8RDRAA2,Default,,,,,,005fj000009ndW5AAI
001fj00000n8T0dAAE,Account Demo1,,,,,,005fj000009ndW5AAI
001fj00000n8T0eAAE,Account Demo2,,,,,,005fj000009ndW5AAI
001fj00000n8T0fAAE,Account Demo3,,,,,,005fj000009ndW5AAI
001fj00000n8T0gAAE,Account Demo4,,,,,,005fj000009ndW5AAI
001fj00000n8T0hAAE,Account Demo5,,,,,,005fj000009ndW5AAI
001fj00000n8XKLAA2,Account Demo1,,,,,,005fj000009ndW5AAI
001fj00000n8XKMAA2,Account Demo2,,,,,,005fj000009ndW5AAI
001fj00000n8XKNAA2,Account Demo3,,,,,,005fj000009ndW5AAI
001fj00000n8XKOAA2,Account Demo4,,,,,,005fj000009ndW5AAI
001fj00000n8XKPAA2,Account Demo5,,,,,,005fj000009ndW5AAI
001fj00000n8XKQAA2,Default,,,,,,005fj000009ndW5AAI
001fj00000nC9BSAA0,Test Account 1 Created,,,,,,005fj000009ndW5AAI
001fj00000nC9BTAA0,Test Account 2 Created,,,,,,005fj000009ndW5AAI
001fj00000nC9BUAA0,Test Account 3 Created,,,,,,005fj000009ndW5AAI
001fj00000nC9BVAA0,Test Account 4 Created,,,,,,005fj000009ndW5AAI
001fj00000nC9BWAA0,Test Account 5 Created,,,,,,005fj000009ndW5AAI
001fj00000nC9BXAA0,Test Account 6 Created,,,,,,005fj000009ndW5AAI
001fj00000nC9BYAA0,Test Account 7 Created,,,,,,005fj000009ndW5AAI
001fj00000nC9BZAA0,Test Account 8 Created,,,,,,005fj000009ndW5AAI
001fj00000nC9BaAAK,Test Account 9 Created,,,,,,005fj000009ndW5AAI
001fj00000nC9BbAAK,Test Account 10 Created,,,,,,005fj000009ndW5AAI
001fj00000nC9BcAAK,Test Account 11 Created,,,,,,005fj000009ndW5AAI
001fj00000nC9BdAAK,Test Account 12 Created,,,,,,005fj000009ndW5AAI
001fj00000nC9BeAAK,Test Account 13 Created,,,,,,005fj000009ndW5AAI
001fj00000nC9BfAAK,Test Account 14 Created,,,,,,005fj000009ndW5AAI
001fj00000nC9BgAAK,Test Account 15 Created,,,,,,005fj000009ndW5AAI
001fj00000nC9BhAAK,Test Account 16 Created,,,,,,005fj000009ndW5AAI
001fj00000nC9BiAAK,Test Account 17 Created,,,,,,005fj000009ndW5AAI
001fj00000nC9BjAAK,Test Account 18 Created,,,,,,005fj000009ndW5AAI
001fj00000nC9BkAAK,Test Account 19 Created,,,,,,005fj000009ndW5AAI
001fj00000nC9BlAAK,Test Account 20 Created,,,,,,005fj000009ndW5AAI
001fj00000nCBy0AAG,Elnur Assignment 1,,,,,,005fj000009ndW5AAI
001fj00000nCBy1AAG,Elnur Assignment 2,,,,,,005fj000009ndW5AAI
001fj00000nCBy2AAG,Account Updated,,,,,,005fj000009ndW5AAI
001fj00000nCHQfAAO,Elnur Assignment 1,,,,,,005fj000009ndW5AAI
001fj00000nCHQgAAO,Elnur Assignment 2,,,,,,005fj000009ndW5AAI
001fj00000nCHQhAAO,Account Updated,,,,,,005fj000009ndW5AAI
001fj00000nCS5xAAG,Test Account 1 CreatedUpdated,,,,,,005fj000009ndW5AAI
001fj00000nCS5yAAG,Test Account 2 CreatedUpdated,,,,,,005fj000009ndW5AAI
001fj00000nCS5zAAG,Test Account 3 CreatedUpdated,,,,,,005fj000009ndW5AAI
001fj00000nCS60AAG,Test Account 4 CreatedUpdated,,,,,,005fj000009ndW5AAI
001fj00000nCS61AAG,Test Account 5 CreatedUpdated,,,,,,005fj000009ndW5AAI
001fj00000nCS62AAG,Test Account 6 CreatedUpdated,,,,,,005fj000009ndW5AAI
001fj00000nCS63AAG,Test Account 7 CreatedUpdated,,,,,,005fj000009ndW5AAI
001fj00000nCS64AAG,Test Account 8 CreatedUpdated,,,,,,005fj000009ndW5AAI
001fj00000nCS65AAG,Test Account 9 CreatedUpdated,,,,,,005fj000009ndW5AAI
001fj00000nCS66AAG,Test Account 10 CreatedUpdated,,,,,,005fj000009ndW5AAI
001fj00000nCS67AAG,Test Account 11 CreatedUpdated,,,,,,005fj000009ndW5AAI
001fj00000nCS68AAG,Test Account 12 CreatedUpdated,,,,,,005fj000009ndW5AAI
001fj00000nCS69AAG,Test Account 13 CreatedUpdated,,,,,,005fj000009ndW5AAI
001fj00000nCS6AAAW,Test Account 14 CreatedUpdated,,,,,,005fj000009ndW5AAI
001fj00000nCS6BAAW,Test Account 15 CreatedUpdated,,,,,,005fj000009ndW5AAI
001fj00000nCS6CAAW,Test Account 16 CreatedUpdated,,,,,,005fj000009ndW5AAI
001fj00000nCS6DAAW,Test Account 17 CreatedUpdated,,,,,,005fj000009ndW5AAI
001fj00000nCS6EAAW,Test Account 18 CreatedUpdated,,,,,,005fj000009ndW5AAI
001fj00000nCS6FAAW,Test Account 19 CreatedUpdated,,,,,,005fj000009ndW5AAI
001fj00000nCS6GAAW,Test Account 20 CreatedUpdated,,,,,,005fj000009ndW5AAI
001fj00000oNzneAAC,USS Army,,,,,,005fj000009ndW5AAI
001fj00000oOUppAAG,Iphone,,,,,,005fj000009ndW5AAI
001fj00001HJiHgAAL,Test,Customer - Direct,Apparel,,,,005fj000009ndW5AAI
001fj00001HJj0qAAD,wefqwf,Customer - Direct,Apparel,,,,005fj000009ndW5AAI
